"name","icono","range","tags","description"
"Curar Heridas","evocacion.png",1,"[Rango 1][Evocación]","Tocas a una criatura y la sanas automáticamente 1d8 + tu modificador de atributo para el lanzamiento de conjuros. Si
la criatura tiene la clave [Muerto Viviente],
recibe daño de tipo luz en lugar de sanación. Este conjuro no tiene efecto sobre
criaturas con la clave [Constructo].
<br><br><b>Potenciación</b>. Incrementa la cantidad
sanada 1d8 por cada rango que aumentes.
"
"Curar Heridas de Masas","evocacion.png",5,"[Rango 5][Evocación]","Extiendes una oleada de energía curativa
en una esfera de 12 metros de radio
centrada en un punto a un máximo de
24 metros de ti. Cada objetivo recupera
tantos PG como 3d8 + tu modificador
de atributo para el lanzamiento de conjuros. Las criaturas afectadas con la clave
[Muerto Viviente] reciben daño de tipo
luz en lugar de sanación. Este conjuro
no tiene efecto sobre criaturas con la
clave [Constructo].
<br><br><b>Potenciación</b>. Incrementas la cantidad
sanada 1d8 por cada rango que aumentes.
"
"Custodia contra la Muerte","abjuracion.png",4,"[Rango 4][Abjuración]","Tocas a una criatura y le concedes algo
de protección contra la muerte durante
8 horas. La primera vez que la criatura
cae a 0 PG como resultado de sufrir
daño, se queda en 1 PG en su lugar y el
conjuro finaliza.
Si el conjuro está activo cuando el objetivo se ve abocado a un efecto que va
a matarlo instantáneamente sin producir
daño, ese efecto no se produce y el conjuro finaliza.
"
"Danza Irresistible de Eranian","encantamiento.png",6,"[Rango 6][Encantamiento]","Elige una criatura visible a un máximo de
12 metros de ti. Dicha criatura comienza
a bailar y obtiene el estado [Frenado].
Empleando una acción, la criatura puede
superar una salvación de Voluntad para
finalizar el conjuro.
Las criaturas con las claves [Constructo],
[Feérico] o [Muerto Viviente] son inmunes
a este conjuro.
"
"Dañar","necromancia.png",6,"[Rango 6][Nigromancia][Diario]","Elige una criatura visible a un máximo
de 24 metros de ti. Liberas sobre dicha
criatura una pestilente enfermedad
que realiza 14d6 puntos de daño de
oscuridad. El objetivo puede reducir a
la mitad el daño recibido superando una
salvación de Fortaleza.
Además, si el objetivo ha fallado la
salvación, quedará infectado por la
enfermedad, que reducirá tantos PG
máximos como daño ha causado.
Cuando la enfermedad se elimine, los PG
máximos de la criatura se restablecerán.
"
"Debilitar Mente","encantamiento.png",8,"[Rango 8][Encantamiento][Diario]","Haces estallar la mente de una criatura
visible a un máximo de 60 metros de ti.
La criatura sufre 4d6 puntos de daño
psíquico y debe superar una salvación
de Voluntad o sus puntuaciones de
atributo de Inteligencia y Carisma se
convierten en 1.
Cada mes, la criatura puede repetir la
salvación de Voluntad para restablecer
sus atributos. También es posible recuperar las puntuaciones de atributo con
Restablecimiento Mayor, Sanar o Deseo.
"
"Dedo de la Muerte","necromancia.png",7,"[Rango 7][Nigromancia]","Señalas a una criatura visible a un
máximo de 24 metros de ti. Esta recibe
7d8+30 puntos de daño de oscuridad,
o la mitad si supera una salvación
de Constitución.
Si este conjuro mata a una criatura
[Humanoide], esta se levantará como
un zombi bajo tu control. De forma
permanente, seguirá todas las órdenes
verbales que le des.
"
"Descanso Apacible","necromancia.png",2,"[Rango 2][Nigromancia][Ritual]","Tocas los restos de un cadáver y los
proteges de la descomposición temporalmente. En los 10 días siguientes, el
tiempo no transcurre para el cadáver a
efectos de los conjuros de nigromancia
y no puede levantarse como una criatura
[Muerto Viviente].
"
"Descarga Flamígera","evocacion.png",5,"[Rango 5][Evocación]","Haces descender una columna vertical
de fuego divino sobre un área de 4
metros de radio centrada en un punto
a 24 metros de ti. Cada criatura que se
encuentre en el área sufre 4d6 puntos
de daño de fuego y 4d6 puntos de daño
de luz si no supera una salvación de
Reflejos, o la mitad del daño si la supera.
<br><br><b>Potenciación</b>. Incrementas el daño de
fuego o de luz —a tu elección— en 1d6
por cada rango que aumentes.
"
"Deseo","conjuracion.png",9,"[Rango 9][Conjuración][Extenuante]","Este conjuro es el conjuro más poderoso
que existe. Pronunciando unas simples
palabras, puedes alterar la realidad y
modelarla a tus deseos.
El uso más común de este conjuro es
duplicar cualquier otro conjuro de rango
inferior. No necesitas cumplir ningún
requisito de [Concentración] o [Coste].
Sin embargo, con el conjuro Deseo
puedes realizar prácticamente cualquier
cosa: crear objetos de un valor máximo
de 250 pr, curar todos los PG de vida a
un máximo de veinte criaturas, otorgar
inmunidad a un conjuro o efecto mágico
durante 8 horas a un máximo de diez
criaturas, deshacer un suceso reciente
y cualquier otra cosa que el Árbitro
te permita. Sin embargo, es importante tener en
cuenta que cuanto mayor sea el deseo,
es más fácil que algo vaya mal: un
conjuro demasiado ambicioso podría
ocurrir solo parcialmente o podría
generar una consecuencia imprevista de
cualquier tipo.
Tras lanzar este conjuro para obtener
un deseo demasiado ambicioso, recibes
9d10 puntos de daño de oscuridad —no
puedes reducirlos o evitarlos en modo
alguno— y tu puntuación de Fuerza se
reduce a 3 durante los siguientes 2d6
días. Además, hay un 33% de posibilidades de que no seas capaz de volver a
lanzar Deseo.
"
"Desintegrar","transmutacion.png",6,"[Rango 6][Transmutación][Diario]","Lanzas un poderoso rayo púrpura a una
criatura, objeto o creación mágica que
se encuentre visible a un máximo de 24
metros de ti.
Si el objetivo es una criatura, debe superar una salvación de Reflejos o sufrir
10d6+40 puntos de daño místico. Si este
daño reduce los PG de la criatura a 0,
la criatura se desintegra, junto con todo
lo que porte, exceptuando los objetos
mágicos. La criatura solo puede volver
a la vida por medio de un conjuro de
Resurrección Verdadera o de Deseo.
Si el objetivo es un objeto o una creación
mágica de tamaño diferente a [Enorme] o
[Gigantesco], se desintegrará automáticamente. Al contrario, si tiene un tamaño
[Enorme] o [Gigantesco], el conjuro desintegrará un área del mismo equivalente a
un cubo de 4 metros de lado.
Los objetos mágicos no pueden desintegrarse.
<br><br><b>Potenciación</b>. Incrementas el daño
realizado por el rayo 3d6 por cada rango
que aumentes.
"
"Despertar","transmutacion.png",5,"[Rango 5][Transmutación][Coste 10 pr]","Tras 8 horas trazando señales mágicas,
tocas a una criatura con la clave [Bestia]
que no tenga una Inteligencia inferior a
4 o a una planta. La Inteligencia de la
criatura pasa a ser 10 y adquiere la capacidad de hablar un lenguaje que conozcas. Si el objetivo es una planta, ganará
la habilidad de mover sus extremidades,
raíces, ramas, enredaderas, etcétera,
ganando sentidos similares a los de un
ser humano. El Árbitro elige los rasgos
apropiados para la planta despertada.
La criatura despertada permanecerá
bajo la clave [Encantado] y te obedecerá durante 30 días o hasta que tú o
cualquiera de tus compañeros le inflija
algún daño. Cuando el encantamiento se
desvanece, la criatura despertada podrá
elegir si sigue siendo o no amiga tuya
dependiendo del trato que le hayas dado
mientras estaba afectada por el conjuro.
"
"Desplazamiento entre Mundos","conjuracion.png",7,"[Rango 7][Conjuración][Coste 2 pr][Extenuante]","Unes tus manos con hasta 8 criaturas
voluntarias más, formando un círculo.
Todos vosotros os transportáis a un
mundo diferente. Puedes escoger como
objetivo cualquier localización concreta
del mundo de destino, aunque tienes
un 30% de posibilidades de aparecer en
otro lugar de dicho mundo.
Opcionalmente, puedes utilizar este
conjuro para desterrar a una criatura a
otro mundo. Esta criatura puede evitar
el viaje no deseado superando una salvación de Voluntad.
"
"Destierro","abjuracion.png",4,"[Rango 4][Abjuración][Concentración]","Destierras a otro mundo a una criatura
visible que se encuentre a un máximo de
24 metros de ti. La criatura debe superar una salvación de Voluntad o ser desterrada durante 1 minuto. La criatura será
transportada al Reflejo, donde quedará
en estado [Incapacitado]. Si el objetivo no
pertenece al Equilibrio, será devuelto a
su mundo y, si el conjuro no es disipado
en 1 minuto, no podrá regresar jamás.
<br><br><b>Potenciación</b>. Eliges como objetivo
una criatura adicional por cada rango
que aumentes.
"
"Detectar el Bien","adivinacion.png",1,"[Rango 1][Adivinación][Concentración]","Durante 10 minutos, sabes si hay criaturas con la clave [Bueno] en un radio
de 12 metros y su localización exacta.
También conoces las áreas y objetos
sagrados que hay alrededor.
"
"Detectar el Mal","adivinacion.png",1,"[Rango 1][Adivinación][Concentración]","Durante 10 minutos, sabes si hay criaturas con la clave [Maligno] en un radio
de 12 metros y su localización exacta.
También conoces las áreas y objetos
impíos que hay alrededor.
"
"Detectar Magia","adivinacion.png",1,"[Rango 1][Adivinación][Concentración][Ritual]","Durante 10 minutos, sientes la presencia de la magia en una distancia de 12
metros. Cuando detectas magia, puedes
emplear una acción para conocer las
claves del conjuro empleado.
"
"Detectar Pensamientos","adivinacion.png",2,"[Rango 2][Adivinación][Concentración]","Puedes leer los pensamientos de algunas
criaturas durante 1 minuto. Para ello
necesitas concentrarte en una criatura
visible a un máximo de 12 metros de
ti, con INT de -3 o más y que hable al
menos una lengua. Puedes descubrir
los pensamientos más superficiales
o inmediatos sobre la situación que
esté viviendo.
Durante el minuto que dura el conjuro,
puedes emplear una acción para profundizar en los pensamientos de la criatura o pasar a otra criatura cercana. Al
profundizar en los pensamientos de la
criatura, comprendes su forma de razonar, su estado emocional y sus mayores
anhelos, miedos y preocupaciones. Sin
embargo, la criatura te puede expulsar
superando una salvación de Voluntad,
que puede repetir al final de cada uno
de sus turnos. Si supera la salvación, el
conjuro finaliza.
Es posible usar este conjuro para detectar la presencia de criaturas pensantes
que no puedes ver. Al lanzar el conjuro,
o empleando una acción durante el
minuto de duración del mismo, puedes
buscar pensamientos en un radio de
12 metros de ti. Una vez detectas la
presencia de una criatura, lees sus pensamientos como si fuera visible, siempre
y cuando no se aleje más de 12 metros.
"
"Detectar Trampas","adivinacion.png",2,"[Rango 2][Adivinación]","Sientes la presencia de cualquier trampa
en tu línea de visión en un radio de 48
metros. Este conjuro revela la existencia
de un peligro, pero no descubre la localización ni la naturaleza del mismo.
"
"Detectar Venenos y Enfermedades","adivinacion.png",1,"[Rango 1][Adivinación][Concentración][Ritual]","Durante 10 minutos, sientes la presencia
de venenos, enfermedades y criaturas
con la clave [Venenoso] en una distancia
de 12 metros.
"
"Detener el Tiempo","transmutacion.png",9,"[Rango 9][Transmutación]","Ralentizas el tiempo para las criaturas
de tu alrededor durante un breve
periodo. Cada asalto puedes realizar
1d4+1 turnos.
El conjuro finaliza cuando una de tus
acciones involucra a una criatura que no seas tú o a un objeto que tenga otra criatura. También finaliza si te alejas más de
400 metros del lugar donde lo lanzaste.
"
"Disco Flotante","conjuracion.png",1,"[Rango 1][Conjuración][Ritual]","Creas un disco de 1 metro de diámetro
que flota sobre el suelo a un máximo
de 12 metros de ti. El disco permanece
durante 1 hora y puede cargar hasta 225
kg. El disco te sigue si te alejas de él más
de 8 metros, pero no puede avanzar
en desniveles mayores de 4 metros de
altura.
Si se coloca más peso encima o el disco
está a más de 80 metros de ti, desaparece
y su contenido cae al suelo.
"
"Disfrazarse","ilusion.png",1,"[Rango 1][Ilusión]","Cambias tu aspecto y el de las posesiones
que llevas encima durante 1 hora o hasta
que canceles el conjuro con una acción.
Puedes aparentar cambios de tamaño de
hasta 30 centímetros. Los cambios son
una ilusión visual y no afectan a lo tangible. Una criatura puede percibir que
estás disfrazado empleando una acción
para examinar tu apariencia y superando
una prueba de Inteligencia contra la CD
de tu salvación de conjuros.
"
"Disipar Magia","abjuracion.png",3,"[Rango 3][Abjuración]","Elige una criatura, objeto o efecto mágico a un máximo de 48 metros de ti.
Cualquier conjuro de rango 3 o inferior
en el objetivo finaliza. Puedes intentar
disipar un conjuro de rango 4 o superior, pero para ello debes realizar una
prueba de atributo usando tu atributo
de lanzamiento de conjuros. La CD es
igual a 10 + el nivel del conjuro.
<br><br><b>Potenciación</b>. Finalizas automáticamente los efectos en el objetivo de
conjuros de un rango igual o inferior al empleado.
"
"Distraer","encantamiento.png",2,"[Rango 2][Encantamiento]","Tejes una cadena de palabras con el
objetivo de distraer, provocando que
todas las criaturas visibles a un máximo
de 24 metros de ti tengan desventaja en
las pruebas de Sabiduría realizadas para
percibir cualquier criatura que no seas tú
durante 1 minuto.
Cada una de estas criaturas puede
hacer una salvación de Voluntad para
evitar los efectos de este conjuro. Las
criaturas con la clave [Feérico] superan
automáticamente la salvación y las que
estén luchando contra ti o contra alguno
de tus aliados tienen ventaja.
"
"Dominar Bestia","encantamiento.png",4,"[Rango 4][Encantamiento][Concentración]","Tratas de hechizar a una criatura con la
clave [Bestia] visible a un máximo de 24
metros de ti. La criatura debe superar
una salvación de Voluntad o quedar
bajo la clave [Encantado] durante 1 minuto. Si tus aliados o tú estáis luchando
contra la criatura, esta tiene ventaja en
la salvación.
Mientras la criatura esté afectada por el
conjuro, posees un vínculo telepático
con ella a través del cual puedes darle
órdenes u obtener el control total y
preciso del objetivo hasta el final de tu
siguiente turno.
Cada vez que la criatura reciba daño,
realiza una salvación de Voluntad
contra el conjuro y, si tiene éxito, el
conjuro finaliza.
<br><br><b>Potenciación</b>. Si lanzas el conjuro
como un rango 5, la duración aumenta
hasta 10 minutos, como un rango 6
hasta 1 hora y como un rango 7 hasta 8 horas.
"
"Dominar Monstruo","encantamiento.png",8,"[Rango 8][Encantamiento][Concentración]","Dominas a una criatura visible a un
máximo de 24 metros de ti. La criatura puede evitar este control superando una
salvación de Sabiduría. Si algún aliado
tuyo o tú estáis luchando contra la criatura, esta tiene ventaja en la salvación.
Si falla la salvación, la criatura queda en
estado [Encantado] durante 1 hora. En
este tiempo puedes comunicarte telepáticamente con ella.
También puedes usar tu acción para
tomar el control total de la criatura hasta
el final de tu siguiente turno.
Cada vez que la criatura reciba daño,
puede superar una salvación de Sabiduría para terminar el efecto del conjuro.
"
"Dominar Persona","encantamiento.png",5,"[Rango 5][Encantamiento][Concentración]","Controlas una criatura [Humanoide]
visible a 24 metros de ti. Si no supera
una salvación de Voluntad, queda bajo
la clave [Encantado] durante 1 minuto. Si
tú o tus aliados estáis luchando contra él,
tiene ventaja en la salvación.
Durante el tiempo en el que permanece
el efecto, se crea un vínculo telepático
entre la criatura y tú, a través del cual
puedes darle órdenes que debe obedecer. Además, puedes utilizar tu acción
para tomar control total de la criatura.
Cada vez que el objetivo sufra daño,
repite la salvación de Voluntad. Si la
salvación tiene éxito, el conjuro finaliza.
<br><br><b>Potenciación</b>. Al lanzar este conjuro
como un conjuro de rango 6 amplías
su duración a 10 minutos. Si lo lanzas
como un conjuro de rango 7, la duración aumenta a 1 hora, mientras que si
empleas el conjuro como un rango 8
aumenta a 8 horas.
"
"Don de Lenguas","adivinacion.png",3,"[Rango 3][Adivinación]","Tocas a una criatura y le concedes la
habilidad de entender cualquier idioma
que escuche, durante 1 hora. Más allá de
eso, cuando el objetivo habla, cualquier
criatura que conozca al menos un idioma y que pueda oír al objetivo entiende
qué está diciendo.
"
"Dormir","encantamiento.png",1,"[Rango 1][Encantamiento]","Duermes a varias criaturas mágicamente. Sitúa un área de 8 metros de
diámetro en un punto a 36 metros de
ti como máximo y tira 5d8. El resultado representa los PG totales de las
criaturas afectadas de entre las que se
encuentran en el área. Empezando por
la criatura que tiene menos PG actuales
y siguiendo en orden ascendente, cada
criatura afectada por este conjuro queda
en estado [Inconsciente] durante 1 minuto,
hasta recibir daño o hasta que alguien
use una acción para que despierte.
Las criaturas con la clave [Constructo],
[Feérico] o [Muerto Viviente] son inmunes
a este conjuro.
<br><br><b>Potenciación</b>. Afectas a 2d8 PG adicionales por cada rango que aumentes.
"
"Drenaje","necromancia.png",1,"[Rango 1][Nigromancia]","Tocas una criatura y drenas su energía
vital para entregársela a un aliado. Haz
un ataque de conjuro cuerpo a cuerpo,
si logras impactar, el objetivo recibe 2d6
puntos de daño de oscuridad. Puedes
sanar a un aliado a 24 metros de ti tantos PG como daño has provocado. Ni
la víctima ni el aliado pueden tener las
claves [Constructo] o [Muerto Viviente].
<br><br><b>Potenciación</b>. Incrementas el daño 1d6
por cada rango que aumentes.
"
"Encontrar la Ruta","adivinacion.png",6,"[Rango 6][Adivinación][Coste 1 pr][Diario]","Meditando durante 1 minuto, puedes
descubrir la ruta física directa más corta
entre tu posición y un lugar específicamente fijado. Durante 24 horas, conoces en todo momento la distancia exacta del
lugar y en qué dirección se encuentra.
Si el destino es un lugar móvil, un
destino no concreto o pertenece a otro
mundo, el conjuro no tiene efecto.
"
"Enraizar","conjuracion.png",1,"[Rango 1][Conjuración][Concentración]","Haces brotar plantas trepadoras y
enredaderas en un radio de 4 metros
centrado en un punto a 36 metros de ti
como máximo. El área afectada adquiere
la clave [Terreno Difícil]. Cualquier criatura en el área afectada debe superar una
salvación de Fortaleza o quedar en estado [Frenado] por las enredaderas hasta
que el conjuro finalice. Una criatura con
la clave [Frenado] debido a las plantas
puede usar su acción para realizar una
prueba de atributo de Fuerza contra la
CD de tu salvación de conjuros. Si tiene
éxito, se libera. Dura 1 minuto.
"
"Escritura Ilusoria","ilusion.png",1,"[Rango 1][Ilusión][Ritual]","Empleas 1 minuto en escribir en una
superficie adecuada y la hechizas con
una potente ilusión que se mantiene 10
días. Tan solo podéis leer el verdadero
significado del texto tú y las criaturas
que escojas cuando lanzas el conjuro.
Para el resto, la escritura parece mágica
o ilegible.
El conjuro puede ser disipado, pero eso
también hace desaparecer el mensaje
original. Una criatura con Visión Verdadera puede leer el mensaje oculto.
"
"Escudo","abjuracion.png",1,"[Rango 1][Abjuración]","Cuando te impacta un ataque o eres
objetivo del conjuro Proyectil Mágico,
puedes emplear tu reacción para crear
una barrera [Invisible] de fuerza mágica
que te protege hasta el inicio de tu
próximo turno. Obtienes +5 a tu CA
y no sufres daño del conjuro Proyectil
Mágico.
"
"Escudo de Escarcha","evocacion.png",4,"[Rango 4][Evocación]","Soplos de viento helado envuelven tu
cuerpo durante 10 minutos. Cuando lanzas el conjuro, ganas resistencia al daño
de tipo fuego y, cuando una criatura a
2 metros de ti impacte con un ataque
cuerpo a cuerpo, del escudo emergerán
cristales helados que le producirán 2d8
puntos de daño de tipo escarcha.
"
"Escudo de Fe","abjuracion.png",1,"[Rango 1][Abjuración][Concentración]","Puedes emplear una acción bonus para
crear un campo radiante que te rodea a
ti o a una criatura de tu elección a 24
metros de ti. Esta protección otorga al
objetivo +2 a la CA durante 10 minutos.
"
"Escudo de Fuego","evocacion.png",4,"[Rango 4][Evocación]","Finas llamas envuelven tu cuerpo
durante 10 minutos, emitiendo luz resplandeciente en un radio de 4 metros, y
luz tenue en otros 4 metros adicionales.
Este escudo te otorga resistencia al daño
de tipo escarcha. Además, cuando una
criatura a 2 metros de ti impacte con
un ataque cuerpo a cuerpo, del escudo
emergerán llamas que le producirán 2d8
puntos de daño de tipo fuego.
"
"Escudriñamiento","adivinacion.png",5,"[Rango 5][Adivinación][Concentración][Coste 10 pr]","Meditas durante 10 minutos con los
ojos cerrados, concentrándote en una
criatura de tu elección que esté en el
mismo mundo que tú. El objetivo deberá superar una salvación de Fortaleza
para evitar que el conjuro tenga efecto.
Si lo consigue, será inmune al mismo
durante 24 horas.
Si la salvación falla, el conjuro crea
durante 10 minutos un sensor [Invisible]
que se mueve con el objetivo a una
distancia de 4 metros de él. Puedes ver y escuchar a través de este sensor como
si estuvieras allí. El sensor es [Invisible].
En lugar de escoger una criatura, puedes
seleccionar una localización que hayas
visto anteriormente. En ese caso, el
sensor aparece en esa localización y no se mueve.
"
"Esfera Congelante","evocacion.png",6,"[Rango 6][Evocación]","Lanzas un orbe de energía glacial desde
la punta de tus dedos hasta un punto
visible a un máximo de 120 metros de ti.
El orbe explota al llegar al punto escogido, causando 10d6 puntos de daño de
escarcha a todas las criaturas en un radio
de 12 metros.
Cada criatura en el área de efecto puede
superar una salvación de Reflejos para
recibir la mitad del daño.
Si en el área de la explosión hay agua, esta
se convierte en hielo durante 1 minuto.
Si lo deseas, puedes convertir el orbe
de energía en una fría piedra que podéis
lanzar tú o uno de tus aliados con una
tirada de armas improvisadas hasta un
máximo de 80 metros o utilizando una
honda. Al impactar se hace añicos,
explotando de la forma habitual en el
conjuro. Tras 1 minuto, si la piedra no se
ha lanzado, explota.
<br><br><b>Potenciación</b>. Incrementas el daño
realizado por la explosión 1d6 por cada
rango que aumentes.
"
"Esfera Elástica de Eranian","evocacion.png",4,"[Rango 4][Evocación][Concentración]","Una esfera arcana envuelve a una
criatura u objeto de tamaño [Diminuto],
[Pequeño], [Medio] o [Grande] a un máximo de 12 metros de ti. La criatura debe
superar una salvación de Reflejos para
evitar el conjuro, aunque puede fallar
dicha salvación voluntariamente.
Durante 1 minuto, nada puede pasar
a través de la barrera, hacia dentro o
hacia fuera. La esfera es inmune a todo
el daño y la criatura u objeto en su interior no puede afectar ni ser afectado
por ataques ni efectos procedentes del
exterior. La criatura encerrada puede
usar su acción para empujar las paredes
de la esfera y rodar hasta la mitad de la
velocidad normal de la criatura.
"
"Esfera Flamígera","conjuracion.png",2,"[Rango 2][Conjuración][Concentración]","Una esfera de 2 metros de diámetro
aparece en un espacio libre de tu elección a un máximo de 24 metros durante
1 minuto. Puedes mover la esfera hasta
12 metros empleando una acción bonus.
Cualquier criatura que finalice su turno
en un radio de dos metros de la esfera
o contra la que choque la propia esfera
al moverse, debe realizar una salvación
de Reflejos. Si falla, sufre 2d6 puntos de
daño de fuego. Si tiene éxito recibe la
mitad de daño.
<br><br><b>Potenciación</b>. Incrementas el daño 1d6
por cada rango que aumentes.
"
"Espada Arcana","evocacion.png",7,"[Rango 7][Evocación][Concentración][Coste 2 pr]","Creas una espada arcana a un máximo
de 24 metros de ti. En el momento del
lanzamiento del conjuro, puedes realizar
un ataque de conjuro cuerpo a cuerpo.
Si consigues impactar, realizas 3d10
puntos de daño místico.
Durante 1 minuto, puedes emplear
una acción bonus para mover 8 metros
la espada y repetir el ataque contra
cualquier objetivo.
"
"Espejismo Arcano","ilusion.png",7,"[Rango 7][Ilusión][Diario]","Empleas 10 minutos y delimitas un
espacio de hasta 3 km de lado. La zona
seleccionada se cubre durante 10 días
con una ilusión que hace que sea vea,
suene, huela y se sienta como otro tipo
de terreno. Puedes crear, alterar y eliminar estructuras, pero la forma general del terreno y
las criaturas presentes no se pueden ver
afectadas por la ilusión.
Las criaturas que conozcan la naturaleza
de la ilusión pueden seguir interactuando con ella.
"
"Espinas","transmutacion.png",2,"[Rango 2][Transmutación][Concentración]","Escoge un punto a un máximo de 24
metros de ti. Durante 10 minutos, brotan
pinchos y espinas en un área de 8 metros
de radio centrada en ese punto. Esta área
adquiere la clave [Terreno Difícil] mientras
dure el conjuro. Cuando una criatura
entra o se mueve dentro del área, sufre
2d4 puntos de daño perforante por cada
2 metros que se desplace.
La transformación del suelo está camuflada para que parezca natural. Cualquier
criatura que no pueda ver el área en el
momento en que se lanza el conjuro
debe realizar una prueba de Sabiduría
contra la CD de tu salvación de conjuros
para percibir el terreno como peligroso
antes de entrar en él.
"
"Espíritus Guardianes","conjuracion.png",3,"[Rango 3][Conjuración][Concentración]","Invocas a las ánimas para que te protejan. Orbitan a tu alrededor en un radio
de 6 metros durante 10 minutos. Sus
formas espirituales aparecerán como
ángeles o seres feéricos.
Cuando una criatura entra en el área
divide su velocidad a la mitad hasta que
salga de ella y recibe 3d8 puntos de daño
de luz. Si la criatura afectada supera una
salvación de Voluntad recibe solo la mitad del daño. Cuando lanzas el conjuro
puedes especificar qué criaturas no se
ven afectadas por el área.
<br><br><b>Potenciación</b>. Incrementas el daño 1d8
por cada rango que aumentes.
"
"Estallar","evocacion.png",2,"[Rango 2][Evocación]","Haces estallar un intenso y repentino
sonido en un punto a tu elección a
un máximo de 24 metros de ti. Cada
criatura que se encuentre en un radio
de 4 metros debe realizar una salvación
de Fortaleza. Si falla, sufre 3d8 puntos
de daño de rayo. Si tiene éxito recibe la
mitad de daño. Las criaturas con la clave
[Inorgánico] tienen desventaja en la salvación y los objetos no mágicos que estén
dentro del área también sufren daño.
<br><br><b>Potenciación</b>. Incrementas el daño 1d8
por cada rango que aumentes.
"
"Expiación","evocacion.png",0,"[A Voluntad][Evocación]","Un brillante orbe luminoso sale disparado hacia una criatura que posee la clave
[Maligno], [Muerto Viviente] o [Infernal] y
que esté a un máximo de 24 metros de ti.
Realiza una tirada de ataque de conjuro
a distancia contra una criatura. Si impactas, sufre 1d10 puntos de daño de luz.
El daño aumenta 1d10 cuando subes al
nivel 3 (2d10), al nivel 6 (3d10) y al nivel
9 (4d10).
"
"Explosión de Escarcha","evocacion.png",1,"[Rango 1][Evocación]","Puedes emplear una reacción para
realizar una explosión congelante en un
radio de 4 metros de ti. Cada criatura
en el área afectada debe realizar una
salvación de Fortaleza. Si no la supera,
sufre 1d8 puntos de daño de escarcha
y queda en estado [Frenado] durante 1
minuto. Una criatura que tenga éxito
solo recibe la mitad de daño y no queda
en estado [Frenado].
Al final de cada uno de sus turnos, cada
víctima puede intentar superar una
salvación de Fortaleza para eliminar el
estado [Frenado].
<br><br><b>Potenciación</b>. Incrementas el daño 1d8
por cada rango que aumentes.
"
"Explosión Mental","evocacion.png",0,"[A Voluntad][Evocación]","Un orbe de oscuridad sale disparado
hacia una criatura a un máximo de 24
metros de ti. Realiza una tirada de ataque
de conjuro a distancia contra la criatura.
Si impactas, sufre 1d6 puntos de daño
psiónico y tiene desventaja en la siguiente tirada de ataque, prueba de atributo o
tirada de salvación que realice.
El daño aumenta 1d6 cuando subes al
nivel 3 (2d6), al nivel 6 (3d6) y al nivel
9 (4d6).
"
"Explosión Solar","evocacion.png",8,"[Rango 8][Evocación]","Creas un brillante haz de luz de 12 metros de radio centrado en un punto a un
máximo de 60 metros de ti.
Cada criatura dentro del haz de luz sufre
12d6 puntos de daño de luz, o la mitad
si se supera una salvación de Fortaleza.
Además, si no supera la salvación, queda
en estado [Cegado] durante 1 minuto.
Las criaturas con la claves [Cieno] o
[Muerto Viviente] tienen ventaja en la
tirada de salvación.
El haz de luz elimina toda la oscuridad
del área.
"
"Expulsar el Bien","abjuracion.png",5,"[Rango 5][Abjuración][Concentración]","Una energía reluciente te envuelve,
protegiéndote de diversos tipos de seres
benignos o de otros mundos. Durante
1 minuto, cualquier criatura con las
claves [Celestial], [Elemental] o [Feérico]
tiene desventaja en sus tiradas de ataque
contra ti.
Además, puedes finalizar el conjuro
aplicando uno de los siguientes efectos:
• Romper encantamiento. Empleando tu acción puedes tocar
a una criatura que esté en estado
[Encantado] o que haya sido poseída
por un ser con las claves [Celestial],
[Elemental] o [Feérico] para anular el
encantamiento o la posesión.
• Expulsar. Realiza un ataque
de conjuro cuerpo a cuerpo
contra una criatura con las claves
[Celestial], [Elemental] o [Feérico]. Si
logras impactar, la criatura debe
superar una salvación de Voluntad
o volverá a su mundo.
"
"Expulsar el Mal","abjuracion.png",5,"[Rango 5][Abjuración][Concentración]","Una energía reluciente te envuelve,
protegiéndote de diversos tipos de seres
malignos o de otros mundos. Durante 1
minuto, cualquier criatura con las claves
[Elemental], [Infernal], [Monstruosidad] o
[Muerto Viviente] tiene desventaja en sus
tiradas de ataque contra ti.
Además, puedes finalizar el conjuro
aplicando uno de los siguientes efectos:
• Romper encantamiento. Empleando tu acción puedes anular
el encantamiento o posesión de
una criatura que esté en estado
[Encantado] o que haya sido poseída
por un ser con una de las claves:
[Elemental], [Infernal], [Monstruosidad]
o [Muerto Viviente].
• Expulsar. Realiza un ataque de
conjuro cuerpo a cuerpo contra
una criatura con una de las claves:
[Elemental], [Infernal], [Monstruosidad]
o [Muerto Viviente]. Si logras impactar, la criatura debe superar una
salvación de Voluntad o volverá a
su mundo.
"
"Fabricar","transmutacion.png",4,"[Rango 4][Transmutación]","Puedes fabricar mágicamente cualquier
cosa sencilla de tamaño [Diminuto],
[Pequeño], [Medio] o [Grande] en 10 minutos siempre y cuando tengas los ma- teriales para su construcción en un radio
de 48 metros centrado en ti. Si el objeto
final requiere modelar piedra, metal o
alguna otra sustancia mineral, no podrá
tener tamaño [Grande]. Mediante este
conjuro no es posible crear criaturas,
objetos que requieran un elevado conocimiento de artesanía u objetos mágicos.
"
